 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
 Biotechnology ,"46,077,411",operating,USA,MD,Baltimore,Glen Burnie,3,1/1/92,1992-01,1992-Q1,1992
 Mobile ,"925,000",operating,USA,GA,Atlanta,Atlanta,1,1/1/92,1992-01,1992-Q1,1992
 SaaS ,"5,240,000",acquired,USA,NY,"Albany, New York",Clifton Park,1,1/1/92,1992-01,1992-Q1,1992
 Enterprise Software ,"7,500,000",operating,USA,VA,"Washington, D.C.",Mclean,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"15,000,000",operating,USA,MD,Baltimore,Columbia,1,12/23/92,1992-12,1992-Q4,1992
 Semiconductors ,"10,000,000",operating,USA,CA,SF Bay Area,Milpitas,1,1/1/92,1992-01,1992-Q1,1992
 Manufacturing ,"4,000,000",operating,USA,MD,Baltimore,Baltimore,1,1/1/92,1992-01,1992-Q1,1992
 Mobile ,"100,000,000",acquired,USA,CA,SF Bay Area,Sunnyvale,1,1/1/92,1992-01,1992-Q1,1992
 Embedded Hardware and Software ,"2,320,000",operating,USA,MA,Boston,Woburn,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"3,251,250",operating,USA,CA,San Diego,El Cajon,3,1/1/92,1992-01,1992-Q1,1992
 Software ,"1,275,000",operating,USA,WA,WA - Other,Bingen,1,1/1/92,1992-01,1992-Q1,1992
 Clean Technology , -   ,operating,USA,MI,Grand Rapids,Muskegon,1,1/1/92,1992-01,1992-Q1,1992
, -   ,,USA,CO,Denver,Broomfield,1,1/1/92,1992-01,1992-Q1,1992
 Clean Technology ,"100,000",operating,USA,NV,Las Vegas,Henderson,1,1/1/92,1992-01,1992-Q1,1992
 Mobile ,"4,454,766",operating,USA,CA,SF Bay Area,Newark,4,1/1/92,1992-01,1992-Q1,1992
 Software ,"5,230,000",acquired,USA,CA,SF Bay Area,Cupertino,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"20,000,000",operating,USA,CA,SF Bay Area,Newark,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"400,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/2/92,1992-01,1992-Q1,1992
 Publishing ,"2,623,840",operating,USA,MN,Minneapolis,Minneapolis,1,5/1/92,1992-05,1992-Q2,1992
 Nonprofits ,"209,800",operating,USA,PA,Philadelphia,Philadelphia,1,1/1/92,1992-01,1992-Q1,1992
 Auctions ,"34,000,000",acquired,USA,IL,Chicago,Rolling Meadows,1,1/1/92,1992-01,1992-Q1,1992
 Finance , -   ,operating,USA,ID,ID - Other,Meridian,1,7/25/92,1992-07,1992-Q3,1992
 Mobile ,"10,732,800",operating,USA,PA,Philadelphia,Malvern,1,1/1/92,1992-01,1992-Q1,1992
 Internet ,"120,000",operating,USA,CA,SF Bay Area,San Mateo,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"50,000",operating,USA,PA,Philadelphia,Bala Cynwyd,1,1/1/92,1992-01,1992-Q1,1992
